縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,男教師數,女教師數,男學生數,女學生數,原住民學生比率,上學年男畢業生數,上學年女畢業生數
[11]臺南市,楠西區,國中,114514,市立楠西國中,公立,偏遠,[715]臺南市楠西區中興路107號,(06)5751712,http://www.nsjhs.tn.edu.tw/,7,10,7,80,71,0.66,38,25
[11]臺南市,南化區,國中,114516,市立南化國中,公立,特偏,[716]臺南市南化區南化里227號,(06)5771105,http://www.nhjh.tn.edu.tw,3,5,5,40,35,0,13,5
[11]臺南市,左鎮區,國中,114517,市立左鎮國中,公立,偏遠,[713]臺南市左鎮區中正里170號,(06)5731015,http://www.tjjh.tn.edu.tw,3,6,4,20,35,0,11,7
[11]臺南市,大內區,國中,114522,市立大內國中,公立,偏遠,[742]臺南市大內區內江里319之1號,(06)5761010,http://www.dnjh.tn.edu.tw,6,10,8,86,61,3.4,29,27
[11]臺南市,佳里區,國中,114524,市立佳興國中,公立,偏遠,[722]臺南市佳里區民安里新宅34之1號,(06)7260291,http://www.jsjh.tn.edu.tw,5,6,8,45,50,0,15,20
[11]臺南市,將軍區,國中,114527,市立將軍國中,公立,偏遠,[725]臺南市將軍區忠嘉里昌平1之1號,(06)7942042,http://www.jjjh.tn.edu.tw,6,8,12,62,59,0.83,28,21
[11]臺南市,七股區,國中,114528,市立後港國中,公立,偏遠,[724]臺南市七股區大潭里頂潭93號,(06)7941357,http://www.hgjh.tn.edu.tw,3,3,7,14,13,0,11,5
[11]臺南市,七股區,國中,114529,市立竹橋國中,公立,偏遠,[724]臺南市七股區義合里74之2號,(06)7891733,http://www.jcjhs.tn.edu.tw,6,5,10,51,55,0,14,22
[11]臺南市,北門區,國中,114530,市立北門國中,公立,偏遠,[727]臺南市北門區永華里1之1號,(06)7862014,http://www.bmjh.tn.edu.tw,6,8,8,68,67,0,22,11
[11]臺南市,新營區,國中,114532,市立太子國中,公立,偏遠,[730]臺南市新營區太北里140之21號,(06)6524762,http://www.ttjh.tn.edu.tw,8,9,14,76,59,4.44,24,20
[11]臺南市,柳營區,國中,114536,市立柳營國中,公立,偏遠,[736]臺南市柳營區東昇里中山東路二段956號,(06)6223209,http://www.lyjh.tn.edu.tw,3,6,4,30,31,3.28,13,12
[11]臺南市,東山區,國中,114538,市立東原國中,公立,特偏,[733]臺南市東山區東原里瓦厝70號,(06)6861009,http://www.dyjh.tn.edu.tw,9,8,16,94,79,1.73,43,28
[11]臺南市,後壁區,國中,114539,市立後壁國中,公立,偏遠,[731]臺南市後壁區嘉苳里124之20號,(06)6871974,http://www.hbjh.tn.edu.tw,9,8,16,100,88,0.53,36,35
[11]臺南市,後壁區,國中,114540,市立菁寮國中,公立,偏遠,[731]臺南市後壁區長短樹里8鄰長短樹8之3號,(06)6621974,http://www.jljhs.tn.edu.tw/,3,5,5,31,27,3.45,11,8
[12]高雄市,大寮區,國中,124508,市立潮寮國中,公立,偏遠,[831]高雄市大寮區潮寮里潮寮路51之9號,(07)7879544#10,http://www.tlm.ks.edu.tw,6,11,11,69,67,1.47,34,18
[12]高雄市,大樹區,國中,124510,市立溪埔國中,公立,偏遠,[840]高雄市大樹區溪埔路1號,(07)6561335,http://www.xpm.ks.edu.tw,9,8,17,129,93,0.9,27,37
[12]高雄市,永安區,國中,124517,市立永安國中,公立,偏遠,[828]高雄市永安區保興一路3號,(07)6912064,http://www.yam.ks.edu.tw,10,6,21,107,126,1.29,41,54
[12]高雄市,田寮區,國中,124525,市立田寮國中,公立,偏遠,[823]高雄市田寮區南安里崗安路48號,(07)6361687,http://www.tia.ks.edu.tw,3,5,5,40,32,0,9,8
[12]高雄市,旗山區,國中,124528,市立圓富國中,公立,偏遠,[842]高雄市旗山區圓富里旗甲路2段609號,(07)6691004,http://www.yfm.ks.edu.tw,7,8,13,68,81,2.68,29,25
[12]高雄市,旗山區,國中,124529,市立大洲國中,公立,偏遠,[842]高雄市旗山區新光里新南巷5號,(07)6661378,http://www.dz.ks.edu.tw,5,7,8,41,49,1.11,16,9
[12]高雄市,美濃區,國中,124532,市立龍肚國中,公立,偏遠,[843]高雄市美濃區龍山里中華路68號,(07)6851314,http://www.ldm.ks.edu.tw,6,6,12,70,61,1.53,29,28
[12]高雄市,六龜區,國中,124534,市立寶來國中,公立,極偏,[844]高雄市六龜區寶來里中正路137號,(07)6881258,http://www.blm.ks.edu.tw,3,6,8,33,40,52.05,7,10
[12]高雄市,杉林區,國中,124535,市立杉林國中,公立,特偏,[846]高雄市杉林區月眉里清水路6號,(07)6771108,http://www.slm.ks.edu.tw,8,11,16,87,82,12.43,49,41
[12]高雄市,內門區,國中,124536,市立內門國中,公立,偏遠,[845]高雄市內門區中正路160巷30號,(07)6671002,http://www.nmm.ks.edu.tw,7,11,11,84,86,0,30,31
[12]高雄市,甲仙區,國中,124537,市立甲仙國中,公立,極偏,[847]高雄市甲仙區東安里文化南路6號,(07)6751018,http://www.jxm.ks.edu.tw,6,8,11,40,42,4.88,13,14
[12]高雄市,林園區,國中,124538,市立中芸國中,公立,偏遠,[832]高雄市林園區中芸里中芸路3之100號,(07)6425223,http://www.zym.ks.edu.tw,11,16,16,116,131,0.81,50,40
[12]高雄市,那瑪夏區,國中,124542,市立那瑪夏國中,公立,極偏,[849]高雄市那瑪夏區瑪雅里平和巷171號,(07)6701813,http://www.sm.ks.edu.tw,6,6,12,44,51,75.79,13,13
[12]高雄市,茂林區,國中,124547,市立茂林國中,公立,極偏,[851]高雄市茂林區茂林里4之5號,(07)6801153,http://www.ml.ks.edu.tw,3,4,5,14,12,100,7,7
[12]高雄市,桃源區,國中,124548,市立桃源國中,公立,極偏,[848]高雄市桃源區勤和里南橫公路三段201號,(07)6861133,http://www.ty.ks.edu.tw,6,11,7,23,33,98.21,8,14
[02]宜蘭縣,大同鄉,國中,24523,縣立大同國中,公立,極偏,[267]宜蘭縣大同鄉太平村一鄰泰雅路四段35號,(03)9809611,http://www.dtjh.ilc.edu.tw,4,9,5,26,32,89.66,14,16
[03]桃園市,楊梅區,國中,34530,市立富岡國中,公立,偏遠,[326]桃園市楊梅區豐野里中正路456號,(03)4721113,http://www.fkjh.tyc.edu.tw,9,8,19,106,109,2.33,57,33
[03]桃園市,楊梅區,國中,34531,市立瑞原國中,公立,偏遠,[326]桃園市楊梅區民豐路69號,(03)4782242#11,http://www.ryjh.tyc.edu.tw,15,14,24,168,111,6.09,64,45
[03]桃園市,新屋區,國中,34536,市立大坡國中,公立,偏遠,[327]桃園市新屋區民有二路二段100號,(03)4768350,http://www.dpjhs.tyc.edu.tw,9,9,16,76,74,1.33,21,28
[03]桃園市,新屋區,國中,34537,市立永安國中,公立,偏遠,[327]桃園市新屋區中山西路三段96號,(03)4862507,http://www.yajh.tyc.edu.tw,9,9,16,65,63,7.03,30,32
[03]桃園市,復興區,國中,34541,市立介壽國中,公立,偏遠,[336]桃園市復興區澤仁里中正路248號,(03)3822315,http://www.jsjh.tyc.edu.tw,10,13,12,108,76,92.93,21,24
[04]新竹縣,竹東鎮,國中,44503,縣立員東國中,公立,偏遠,[310]新竹縣竹東鎮東峰路521號,(03)5963324,http://www.ydjh.hcc.edu.tw,11,10,18,101,88,47.09,36,34
[04]新竹縣,關西鎮,國中,44505,縣立石光國中,公立,偏遠,[306]新竹縣關西鎮石光里308巷44號,(03)5868019,http://www.sgjh.hcc.edu.tw/bin/home.php,6,7,8,57,43,5,14,19
[04]新竹縣,關西鎮,國中,44506,縣立富光國中,公立,偏遠,[306]新竹縣關西鎮東光里十六張49號,(03)5872224,http://www.fgjh.hcc.edu.tw,9,5,23,91,91,6.04,34,47
[04]新竹縣,新埔鎮,國中,44508,縣立照門國中,公立,偏遠,[305]新竹縣新埔鎮照門里照鏡7號,(03)5890214,http://www.jmjh.hcc.edu.tw,7,7,10,85,83,0.6,36,25
[04]新竹縣,竹北市,國中,44510,縣立鳳岡國中,公立,偏遠,[302]新竹縣竹北市大義里鳳岡路三段100號,(03)5561284,http://www.fkjh.hcc.edu.tw,7,6,14,83,80,1.23,36,32
[04]新竹縣,芎林鄉,國中,44512,縣立芎林國中,公立,偏遠,[307]新竹縣芎林鄉新鳳村74號,(03)5922775,http://www.cljh.hcc.edu.tw,16,9,31,168,157,5.85,76,56
[04]新竹縣,新豐鄉,國中,44514,縣立精華國中,公立,偏遠,[304]新竹縣新豐鄉後湖村八鄰166號,(03)5680923,http://www.ghjh.hcc.edu.tw,3,2,7,30,31,0,8,12
[04]新竹縣,橫山鄉,國中,44515,縣立橫山國中,公立,偏遠,[312]新竹縣橫山鄉中豐路二段415號,(03)5931665,http://www.hsjh.hcc.edu.tw,6,4,14,71,71,11.27,32,28
[04]新竹縣,橫山鄉,國中,44516,縣立華山國中,公立,偏遠,[312]新竹縣橫山鄉橫山街一段29號,(03)5934084,http://www.hwjh.hcc.edu.tw,5,6,7,38,43,4.94,21,19
[04]新竹縣,寶山鄉,國中,44517,縣立寶山國中,公立,偏遠,[308]新竹縣寶山鄉三峰路二段600號,(03)5202104,http://www.bsjh.hcc.edu.tw,12,5,26,119,87,2.43,44,42
[04]新竹縣,北埔鄉,國中,44518,縣立北埔國中,公立,偏遠,[314]新竹縣北埔鄉埔尾村141號,(03)5802224,http://www.ppjh.hcc.edu.tw,9,3,18,103,93,2.55,38,37
[04]新竹縣,峨眉鄉,國中,44519,縣立峨眉國中,公立,偏遠,[315]新竹縣峨眉鄉峨眉街十鄰54號,(03)5800208,http://www.omjh.hcc.edu.tw,3,3,6,38,15,1.89,10,12
[04]新竹縣,五峰鄉,國中,44523,縣立五峰國中,公立,偏遠,[311]新竹縣五峰鄉大隘村六鄰113號,(03)5851006,http://www.wfjh.hcc.edu.tw,4,5,8,31,39,100,16,10
[04]新竹縣,尖石鄉,國中,44524,縣立尖石國中,公立,偏遠,[313]新竹縣尖石鄉嘉樂村三鄰八十號,(03)5841027,http://www.gsjh.hcc.edu.tw,10,11,15,127,107,97.01,35,40
[05]苗栗縣,通霄鎮,國中,54512,縣立南和國中,公立,偏遠,[357]苗栗縣通霄鎮南和里9鄰112之1號,(037)782404,http://web.nhes.mlc.edu.tw,3,1,11,30,27,1.75,13,11
[05]苗栗縣,通霄鎮,國中,54513,縣立烏眉國中,公立,偏遠,[357]苗栗縣通霄鎮內湖里1鄰5-1號,(037)752409,http://web.wumeies.mlc.edu.tw,8,2,18,98,77,0,46,19
[05]苗栗縣,通霄鎮,國中,54514,縣立啟新國中,公立,偏遠,[357]苗栗縣通霄鎮白東里135之2號,(037)792804,http://web.csjh.mlc.edu.tw,3,4,7,34,45,3.8,12,13
[05]苗栗縣,西湖鄉,國中,54515,縣立西湖國中,公立,偏遠,[368]苗栗縣西湖鄉龍洞村一鄰1之1號,(037)921016,http://www.shihujh.mlc.edu.tw,6,9,6,52,59,0.9,25,17
[05]苗栗縣,頭份市,國中,54518,縣立文英國中,公立,偏遠,[351]苗栗縣頭份市尖下里200號,(037)624260,http://www.wyjh.mlc.edu.tw,8,4,18,80,90,2.35,43,27
[05]苗栗縣,三灣鄉,國中,54521,縣立三灣國中,公立,偏遠,[352]苗栗縣三灣鄉三灣村忠信路17號,(037)831002,http://www.sw.mlc.edu.tw,6,6,12,71,58,0,38,29
[05]苗栗縣,南庄鄉,國中,54522,縣立南庄國中,公立,特偏,[353]苗栗縣南庄鄉東村中正路165號,(037)822027,http://web.njjh.mlc.edu.tw,8,11,11,97,85,52.2,36,32
[05]苗栗縣,造橋鄉,國中,54523,縣立造橋國中,公立,偏遠,[361]苗栗縣造橋鄉造橋村1鄰老庄27號,(037)562773,http://web.tcjh.mlc.edu.tw,5,6,10,58,48,5.66,28,25
[05]苗栗縣,造橋鄉,國中,54524,縣立大西國中,公立,偏遠,[361]苗栗縣造橋鄉大中街73號,(037)541080,https://www.dc.mlc.edu.tw/,6,5,14,75,53,0,24,24
[05]苗栗縣,大湖鄉,國中,54527,縣立大湖國中,公立,偏遠,[364]苗栗縣大湖鄉靜湖村民族路80號,(037)991022,http://www.dahujh.mlc.edu.tw,6,8,10,60,53,26.55,30,35
[05]苗栗縣,大湖鄉,國中,54528,縣立南湖國中,公立,偏遠,[364]苗栗縣大湖鄉義和村12號,(037)992956,http://www.nanhujh.mlc.edu.tw,8,7,15,108,95,4.43,44,40
[05]苗栗縣,獅潭鄉,國中,54529,縣立獅潭國中,公立,偏遠,[354]苗栗縣獅潭鄉新店村21號,(037)931328,http://web.stjh.mlc.edu.tw,3,2,7,22,29,17.65,11,6
[05]苗栗縣,泰安鄉,國中,54531,縣立泰安國中(小),公立,特偏,[365]苗栗縣泰安鄉大興村32之1號,(037)991224,http://web.taian.mlc.edu.tw,3,3,6,10,15,84,5,9
[05]苗栗縣,通霄鎮,國中,54534,縣立福興武術國中(小),公立,偏遠,[357]苗栗縣通霄鎮福興里58之2號,(037)782984,http://web.fushing.mlc.edu.tw/,6,5,10,50,26,9.21,20,1
[07]彰化縣,鹿港鎮,國中,74503,縣立鹿鳴國中,公立,偏遠,[505]彰化縣鹿港鎮頭南里頂草路三段167號,(04)7713846,http://www.lmjh.chc.edu.tw,30,33,40,442,375,1.22,148,128
[07]彰化縣,線西鄉,國中,74504,縣立線西國中,公立,偏遠,[507]彰化縣線西鄉寓埔村中央路二段145號,(04)7584129,http://www.hhjh.chc.edu.tw,15,17,19,216,187,0.25,77,94
[07]彰化縣,二林鎮,國中,74512,縣立萬興國中,公立,偏遠,[526]彰化縣二林鎮萬興里二溪路六段626號,(04)8682978,http://www.whjh.chc.edu.tw,7,6,17,75,67,0,24,29
[07]彰化縣,竹塘鄉,國中,74514,縣立竹塘國中,公立,偏遠,[525]彰化縣竹塘鄉竹塘村竹林路一段550號,(04)8972034,http://www.ctjhs.chc.edu.tw,22,24,30,307,315,0.8,135,118
[07]彰化縣,大城鄉,國中,74515,縣立大城國中,公立,偏遠,[527]彰化縣大城鄉東城村南平路224號,(04)8941022,http://www.tcjhs.chc.edu.tw,14,12,21,180,161,0.88,83,52
[07]彰化縣,芳苑鄉,國中,74516,縣立草湖國中,公立,偏遠,[528]彰化縣芳苑鄉草湖村功湖路140號,(04)8861051,https://sites.google.com/a/thjh.chc.edu.tw/2016home/home,12,12,18,158,148,3.27,63,58
[07]彰化縣,芳苑鄉,國中,74517,縣立芳苑國中,公立,偏遠,[528]彰化縣芳苑鄉仁愛村斗苑路芳苑段211號,(04)8983264,http://www.fyjhs.chc.edu.tw,9,7,16,109,105,0.93,38,24
[07]彰化縣,二水鄉,國中,74529,縣立二水國中,公立,偏遠,[530]彰化縣二水鄉源泉村月眉巷13號,(04)8791557,http://www.esjh.chc.edu.tw,9,10,13,123,89,1.42,40,37
[07]彰化縣,溪州鄉,國中,74532,縣立溪州國中,公立,偏遠,[524]彰化縣溪州鄉溪州村中央路三段300號,(04)8895054,http://www.ccjh.chc.edu.tw,12,14,18,175,146,0.93,79,70
[07]彰化縣,溪州鄉,國中,74533,縣立溪陽國中,公立,偏遠,[524]彰化縣溪州鄉成功村下柑路1號,(04)8802151,http://163.23.101.189,11,11,16,148,115,0.38,60,45
[07]彰化縣,埤頭鄉,國中,74534,縣立埤頭國中,公立,偏遠,[523]彰化縣埤頭鄉崙腳村中學路67號,(04)8922004,http://www.ptjh.chc.edu.tw,26,27,37,383,330,0.42,139,123
[07]彰化縣,二林鎮,國中,74537,縣立原斗國中(小),公立,偏遠,[526]彰化縣二林鎮原斗里原竹路872號,(04)8904600,http://www.ydjh.chc.edu.tw,3,3,9,40,35,1.33,15,12
[08]南投縣,南投市,國中,84504,縣立鳳鳴國中,公立,偏遠,[540]南投縣南投市鳳鳴里八卦路896號,(049)2291831,http://www.fmjhs.ntct.edu.tw,3,6,6,36,23,0,17,10
[08]南投縣,埔里鎮,國中,84505,縣立埔里國中,公立,偏遠,[545]南投縣埔里鎮西安路一段193號,(049)2982055,http://www.pljh.ntct.edu.tw,43,38,72,510,554,20.3,216,222
[08]南投縣,埔里鎮,國中,84506,縣立大成國中,公立,偏遠,[545]南投縣埔里鎮大城路169號,(049)2915550,http://www.dcjh.ntct.edu.tw,19,20,32,246,215,11.28,88,92
[08]南投縣,埔里鎮,國中,84507,縣立宏仁國中,公立,偏遠,[545]南投縣埔里鎮東門里公園路20號,(049)2982548,http://www.hjjh.ntct.edu.tw,35,35,49,472,490,21.1,159,146
[08]南投縣,竹山鎮,國中,84513,縣立社寮國中,公立,偏遠,[557]南投縣竹山鎮集山路一段1729號,(049)2622010,http://www.sljh.ntct.edu.tw,3,3,9,23,21,4.55,13,10
[08]南投縣,竹山鎮,國中,84514,縣立瑞竹國中,公立,偏遠,[557]南投縣竹山鎮瑞竹里瑞東巷20號,(049)2711014,http://www.rujhs.ntct.edu.tw/bin/home.php,3,6,6,22,17,0,4,15
[08]南投縣,集集鎮,國中,84515,縣立集集國中,公立,偏遠,[552]南投縣集集鎮集集里成功路200號,(049)2762013,http://www.chijhs.ntct.edu.tw,8,6,16,79,70,0,25,28
[08]南投縣,名間鄉,國中,84517,縣立三光國中,公立,偏遠,[551]南投縣名間鄉新光村名山路50號,(049)2732074,http://www.sgjh.ntct.edu.tw,13,12,24,187,109,9.8,47,39
[08]南投縣,鹿谷鄉,國中,84518,縣立鹿谷國中,公立,偏遠,[558]南投縣鹿谷鄉彰雅村仁義路94之1號,(049)2752001,http://www.lkjh.ntct.edu.tw,6,11,8,56,56,0,27,18
[08]南投縣,鹿谷鄉,國中,84519,縣立瑞峰國中,公立,偏遠,[558]南投縣鹿谷鄉仁愛路154之1號,(049)2671712,http://www.rfjhs.ntct.edu.tw,3,5,7,13,9,4.55,7,7
[08]南投縣,中寮鄉,國中,84520,縣立中寮國中,公立,偏遠,[541]南投縣中寮鄉復興村初中巷50號,(049)2691247,http://www.cljh.ntct.edu.tw/bin/home.php,5,4,9,55,59,0,22,36
[08]南投縣,中寮鄉,國中,84521,縣立爽文國中,公立,偏遠,[541]南投縣中寮鄉爽文村4 鄰竹坪巷40號,(049)2601030,http://163.22.78.1,6,10,9,62,33,0,27,25
[08]南投縣,魚池鄉,國中,84522,縣立魚池國中,公立,偏遠,[555]南投縣魚池鄉魚池村魚池街441之6號,(049)2895527,http://www.ycjhs.ntct.edu.tw,7,5,15,78,72,0.67,36,24
[08]南投縣,魚池鄉,國中,84523,縣立明潭國中,公立,偏遠,[555]南投縣魚池鄉水社村中山路190號,(049)2855145,http://www.mtjhs.ntct.edu.tw,3,3,9,7,9,12.5,5,2
[08]南投縣,國姓鄉,國中,84524,縣立國姓國中,公立,偏遠,[544]南投縣國姓鄉石門村國姓路237號,(049)2721144,http://www.khjh.ntct.edu.tw,10,10,17,124,116,4.17,40,35
[08]南投縣,國姓鄉,國中,84525,縣立北梅國中,公立,特偏,[544]南投縣國姓鄉北港村國姓路62號,(049)2461004,http://www.bmjh.ntct.edu.tw,3,6,8,27,31,55.17,13,12
[08]南投縣,國姓鄉,國中,84526,縣立北山國中,公立,偏遠,[544]南投縣國姓鄉北山村中正路四段157號,(049)2451028#26,http://www.bsjh.ntct.edu.tw,4,6,7,45,28,0,23,23
[08]南投縣,水里鄉,國中,84528,縣立民和國中,公立,偏遠,[553]南投縣水里鄉中學路29號,(049)2741138,http://www.mhjhs.ntct.edu.tw,6,9,10,46,52,92.86,22,22
[08]南投縣,信義鄉,國中,84529,縣立信義國中,公立,特偏,[556]南投縣信義鄉明德村玉山路20號,(049)2791129,http://www.syijh.ntct.edu.tw/bin/home.php,4,5,11,33,38,56.34,21,15
[08]南投縣,信義鄉,國中,84530,縣立同富國中,公立,極偏,[556]南投縣信義鄉同富村同和巷7號,(049)2701317,http://www.tfjhs.ntct.edu.tw,7,12,8,67,67,71.64,24,25
[08]南投縣,仁愛鄉,國中,84531,縣立仁愛國中,公立,極偏,[546]南投縣仁愛鄉大同村信義巷28號,(049)2802206,http://www.jyjh.ntct.edu.tw,8,9,12,74,89,88.96,36,17
[09]雲林縣,大埤鄉,國中,94503,縣立大埤國中,公立,偏遠,[631]雲林縣大埤鄉南和村民權路80號,(05)5912051#103,http://www.dpjh.ylc.edu.tw,11,9,17,142,115,0.78,44,64
[09]雲林縣,四湖鄉,國中,94504,縣立飛沙國中,公立,偏遠,[654]雲林縣四湖鄉飛沙村大同路81號,(05)7723218,http://www.fsjh.ylc.edu.tw,6,5,12,77,77,0.65,27,22
[09]雲林縣,四湖鄉,國中,94505,縣立四湖國中,公立,偏遠,[654]雲林縣四湖鄉湖西村中正路766號,(05)7872040,http://www.shjh.ylc.edu.tw,6,5,11,65,53,0,22,31
[09]雲林縣,水林鄉,國中,94506,縣立水林國中,公立,偏遠,[652]雲林縣水林鄉水北村水林路2號,(05)7852618,http://www.sljs.ylc.edu.tw,9,8,15,125,112,0,40,49
[09]雲林縣,二崙鄉,國中,94508,縣立二崙國中,公立,偏遠,[649]雲林縣二崙鄉崙西村中正路88號,(05)5982020,http://www.eljh.ylc.edu.tw,20,17,34,314,187,1,138,64
[09]雲林縣,褒忠鄉,國中,94509,縣立褒忠國中,公立,偏遠,[634]雲林縣褒忠鄉中勝路62號,(05)6972056,http://www.pcjh.ylc.edu.tw,6,8,8,75,63,0.72,22,28
[09]雲林縣,東勢鄉,國中,94513,縣立東勢國中,公立,偏遠,[635]雲林縣東勢鄉東榮路65號,(05)6991035,http://www.tsjhs.ylc.edu.tw,9,9,14,111,109,0.45,44,43
[09]雲林縣,元長鄉,國中,94514,縣立元長國中,公立,偏遠,[655]雲林縣元長鄉元南路16號,(05)7882012,http://www.yjjh.ylc.edu.tw,9,10,15,134,110,1.23,64,31
[09]雲林縣,虎尾鎮,國中,94517,縣立虎尾國中,公立,偏遠,[632]雲林縣虎尾鎮中溪里中興路153號,(05)6220647,http://www.hwjh.ylc.edu.tw,11,12,17,140,112,1.19,58,54
[09]雲林縣,口湖鄉,國中,94522,縣立宜梧國中,公立,偏遠,[653]雲林縣口湖鄉梧南村光明路1號,(05)7907254,http://www.ywjh.ylc.edu.tw,4,3,9,47,33,1.25,20,17
[09]雲林縣,口湖鄉,國中,94523,縣立口湖國中,公立,偏遠,[653]雲林縣口湖鄉湖東村3鄰文明路133巷20號,(05)7892027,http://www.khjh.ylc.edu.tw,10,12,13,110,109,0.46,57,56
[09]雲林縣,臺西鄉,國中,94524,縣立臺西國中,公立,偏遠,[636]雲林縣臺西鄉中山路408號,(05)6982047,http://www.tsjh.ylc.edu.tw,13,17,16,196,138,0.3,54,60
[09]雲林縣,水林鄉,國中,94526,縣立蔦松國中,公立,偏遠,[652]雲林縣水林鄉松北村1之1號,(05)7841801,http://www.nsjh.ylc.edu.tw,12,15,20,107,148,0.78,42,46
[09]雲林縣,土庫鎮,國中,94528,縣立馬光國中,公立,偏遠,[633]雲林縣土庫鎮馬光里和平街101號,(05)6653587,http://www.mkjh.ylc.edu.tw,13,10,25,198,115,0.96,78,47
[09]雲林縣,林內鄉,國中,94530,縣立林內國中,公立,偏遠,[643]雲林縣林內鄉烏麻村長源200號,(05)5899306,http://www.lnjh.ylc.edu.tw,7,10,9,94,87,0.55,58,56
[09]雲林縣,古坑鄉,國中,94544,縣立樟湖生態國中(小),公立,偏遠,[646]雲林縣古坑鄉石橋50-2號,(05)5811044,http://sites.google.com/site/newjhanghu/,6,5,10,60,31,0,11,15
[10]嘉義縣,布袋鎮,國中,104503,縣立布袋國中,公立,偏遠,[625]嘉義縣布袋鎮光復里六棟寮40號,(05)3472044,http://schbase.cyc.edu.tw/schbase106/main.php,9,12,13,84,78,1.23,21,24
